uuid,schid,noattrit,aflatoun,hmb,class,std_avg_class_size,region1,region2,region3,urban,gender,female,age,tribe,hhsize,hhearn,hhbankaccounts,repeated_grade,baseline_save,baseline_saveamt,takeupschool,takeup,end_save,end_saveamt,end_saveschl,end_saveschlamt,asset_index,work_index,riskpref_index,timepref_index,treatment,saving_attitude_index,saving_env_index,fin_lit_index,tempt_index,expend_index,academic_index
"1011",101,1,1,0,"P5",-.0631599,1,0,0,0,"Male",0,10,"Akyem",6,1,0,"No","Yes",2.3,0,0,"No",0,"No",0,-.460591,-.59294787,-.49239976,.79005322,1,.02414541,.22291883,.44289611,-.65038592,-.13870856,-.01252952
"1012",101,1,1,0,"P5",-.0631599,1,0,0,0,"Male",0,12,"Other",7,2,0,"No","No",0,0,0,"Yes",1.4,"No",0,-.3386441,-.59294787,2.0297176,-1.2650188,1,.02414541,-.22238849,1.2567449,.11483849,-.05862898,-.76538538
"1013",101,1,1,0,"P5",-.0631599,1,0,0,0,"Male",0,13,"Fanti",3,1,0,"No","No",0,0,0,"No",0,"No",0,-1.229701,3.404489,-.49239976,.79005322,1,.02414541,-.66769581,-1.0695141,-.65038592,1.871038,-1.8279746
"1014",101,1,1,0,"P5",-.0631599,1,0,0,0,0,1,10,"Fanti",6,2,0,"No","No",0,0,0,"No",0,"No",0,.2806078,-.59294787,-.49239976,.79005322,1,-1.8689312,-.83385339,.37547534,-.65038592,1.900146,-.01252952
"1015",101,1,1,0,"P5",-.0631599,1,0,0,0,0,1,13,"Fanti",7,2,1,"No","No",0,0,0,"No",0,"No",0,.494285,-.59294787,-.49239976,.79005322,1,.02414541,-.01021321,-1.3071116,-.40548831,-.29287015,-3.023953
"1016",101,1,1,0,"P5",-.0631599,1,0,0,0,0,1,13,"Fanti",6,2,2,"No","Yes",10,0,0,"No",0,"No",0,2.102743,-.59294787,-.49239976,-1.2650188,1,-.49885469,1.9831913,.66957587,.38104817,.47793789,-.3667259
"1017",101,1,1,0,"P5",-.0631599,1,0,0,0,0,1,12,"Other",2,1,0,"No","No",0,0,0,"No",0,"No",0,-3.262738,-.59294787,-.49239976,.79005322,1,1.736741,-2.1697754,-.10339095,-.65038592,-.44269272,.3416668
"1018",101,1,1,0,"P5",-.0631599,1,0,0,0,0,1,13,"Mamprusi",4,2,2,"No","Yes",2.6,0,0,"Yes",7,"No",0,-1.496977,-.59294787,-.49239976,-1.2650188,1,1.6339852,.64726938,.61970762,.13847078,-.42233775,.69586314
"1019",101,1,1,0,"P5",-.0631599,1,0,0,0,"Male",0,13,"Fanti",6,2,1,"No","Yes",10,0,0,"No",0,"No",0,.4100399,1.3917449,-.49239976,.79005322,1,-.60688013,-.45552053,.3925035,.32920449,.51462701,.69586314
"10110",101,1,1,0,"P5",-.0631599,1,0,0,0,"Male",0,12,"Fanti",8,2,2,"No","Yes",6.5,0,0,"No",0,"No",0,.4100399,-.59294787,-.49239976,.79005322,1,.02414541,1.9831913,-.41778042,.647249,.27438826,-3.7768088
